,date,bank,title,rating,text
1,12.02.2018 23:16,Ак Барс,Некомпетентные сотрудники,1,"февраля я обратилась в доп.офис на ул.Чуйкова за справкой, содержащей в себе информацию о ""Согласие/отказе ПАО АК Барс банк на оформление договора последующей ипотеки передаваемого в залог объекта недвижимости"" для рефинансирования ипотеки в другом банке ( т.к. у меня высокий % по ипотеке в АкБарс Банке).Предварительно, февраля, через телефон горячей линии ПАО АкБарс Банк, сотрудники которой меня соединили с доп.офисом на ул.Зорге , у специалиста ипотечного кредитования я уточнила- выдают ли такие справки, на что мне последовал ответ ""Конечно выдаем, можете обратиться в любой офис, где есть отдел ипотечного кредитования"".февраля приблизительно в .я обратилась к сотруднику доп.офиса на Чуйкова Ахметзяновой Ольге Юрьевне за данной справкой. От нее последовал резкий ответ, что таких справок не дают. Я еще раз повторила, что на Зорге меня уверили, что дают такие справки в любом доп.офисе, где есть ипотечный отдел. На что мне она ответила ""Я из потреб.кредитования"". Я спросила ""Кто занимается ипотечным кредитованием"". Ольга Юрьевна махнула рукой на девушку. Я подошла к девушке, которая занималась ипотеч.кредитованием -Яруллина Гузель Махмутовна. В ответ я снова от нее услышала, что нет таких справок. Я её вежливо попросила позвонить и уточнить на Зорге , как сделать данную справку. На что она ответила ""Езжайте на Зорге и делайте там, раз там дают!"" Такое поведение в принципе не приемлимо для сотрудника крупного банка Республики Татарстан!Тогда в :я сама решила еще раз позвонить на горячую линию, чтобы проконсультироваться снова с сотрудниками доп.офиса Зорге (В этот момент Яруллина перестала обращать на меня внимание и занялась своими делами). Сотрудники ДО на ул.Зорге мне снова ответили, что есть такие справки и попросили передать телефон Яруллиной Гузель. После разговора с ними она сказала, это нестандартное заявление и  вообще не я принимаю заявления такие , а Ахметзянова. На что Ахметзянова сказала, что у нее рабочий день закончен и ушла.В результате Яруллина мне дала бланк заявления и я все-таки смогла заказать справку нужную мне.Подводя итоги, хочу отметить, что это не первое мое обращение в доп.офис на Чуйкова, и при каждом моем опосещении сотрудники некомпетентно справляются с моими обращениями и пытаются перенаправить в другой доп.офис!Хочу теперь от руководства банка услышать ответ:.Почему сотрудники ДО на Чуйкова , не пытаются разобраться в ситуации и помочь клиенту?. Зачем вообще нужны данные сотрудники, если клиенты сами должны выяснять как сделать документы?. Почему сотрудники в наглой форме пытаются переправить в другой доп.офис, неудобный мне и находящийся на другой стороне города?"
2,12.02.2018 23:13,МТС Банк,Отрицательная доходность по депозиту,1,"Добрый день. Как оказалось и по депозиту можно вернуть сумму меньшую первоначального взноса. В г жена открыла мультивалютный вклад на день в отделении МТС Банка в г.Красногорск. Через какое то время отделение в Красногорске было ликвидировано. Ездить в Москву с тремя детьми долгое время было не с руки. И вот в феврале г добрались таки до отделения МТС Банка. Про очереди и время ожидания это отдельная история. Когда нас приняли поначалу сотрудник банка заявил, что остатки по депозитам равны нулю, чем поверг нас с женой в ступор. Через какое то время выяснилось что деньги таки есть, но на текущих счетах, с которых каждый месяц списывается комиссия про которую никто нам не говорил. Т.к. вклад мультивалютный то с каждой валюты комиссия списывается отдельно. Итого каждый месяц списывается долларов+евро+рублей и так более года. И никаких звонков, СМС и предупреждений о списании. Еще не много и похоже уже жена была бы должна банку. Попросили закрыть счета немедленно и выдать деньги, получили отказ (или берите рубли или резервируйте). Попросили перевести деньги с текущих счетов на новый депозит, также не получилось. Вот такая вот грустная история. Возможно банк по закону прав, я не знаю, но это крайне не клиентоориентированно не уведомлять о списаниях. Знали бы, давно бы уже приняли меры."
3,12.02.2018 23:06,Газпромбанк,Терпение заканчивается,,"В сентябре обратился в отделение ГПБ в Павшинской пойме (Красногорск) с целью рефинансирования ипотечного кредита в другом банке. Одобрили быстро, но с выходом на сделку немного тянули, в итоге октября подписали кредитный договор. В моих интересах быстро всё оформить, т.к. по условиям договора после оформления залога в пользу ГПБ ставка снижается с .% до .%, а это около тыс экономии на каждом платеже. Оперативно получил справку о погашении рефинансируемого кредита в старом банке и закладную и уже октября в МФЦ получил справку о снятии обременения с квартиры. Договор залога удалось получить в банке только декабря!!! Почти полтора месяца потребовалось на внесение моих реквизитов в стандартную форму. Не слишком ли долго? Потом еще до декабря протянули с оплатой госпошлины за регистрацию обременения в пользу ГПБ (интересовался почти каждый день). По информации сотрудников отделения в Пойме все задержки на совести головного офиса. Дотянули до момента, когда  в МФЦ на регистрацию обременения все было расписано на недели вперед, поэтому пришлось записаться на января , после праздников. января получил на руки в МФЦ зарегистрированный договор залога, в тот же день отнес в банк, написал заявление с просьбой снизить процентную ставку до ,%. Удивило конечно, что я должен просить банк исполнить обязательства по договору, но не стал заострять внимание, попросили - написал. Но не тут то было. Мои неоднократные появления в отделении банка в Павшинской пойме с того дня до сих пор не принесли результата. Последний раз был сегодня. Сотрудники отделения в очередной раз вежливо объясняли, что от них ничего не зависит, снова причина задержки в таинственном головном офисе. Случайно удалось узнать, что некий господин Гусев Сергей Борисович из головного офиса до сих пор не может найти время, чтобы удовлетворить мою просьбу и прислать мне обновленный график платежей по новой ставке ,%. числа у меня день платежа. Сегодня внес на свой счет сумму платежа по текущей ставке ,%, хотя свои обязательства исполнил еще в январе. Снова прикажете вносить повышенный платеж??? Ни с кем из сотрудников не ругался, но моему терпению тоже есть предел. Очень недоволен работой банка и жду каких то конкретных действий от ответственных лиц."
4,12.02.2018 23:06,Тинькофф Банк,Банк говно,1,Не советую не кому этом банк процент по кредиту растет каждый день работают там одни  сотрудники банка хомят одним словом как разрывать контракт тут начинаются проценты скрытые пени колекторы могут позвонить в час ночи хорошие отзывы пишут они сами кредитную карту могут привезти даже на улицу мошеники одним словом
5,12.02.2018 23:00,Совкомбанк,ПРЕКРАТИТЕ НАЗОЙЛИВЫЕ ЗВОНКИ!,1,"Я согласна с теми, кто пишет, что это ужасный банк! Я никогда ничего не брала и не имела с ними никаких финансовых отношений в этом банке и никогда этого не сделаю, НО! мне регулярно поступают звонки в отношении должника, с требованием (это даже не просьба) передать ему информацию. Мои доводы и объяснения, что я не имею с ним никаких контактов сотрудников этого банка вообще не интересуют. Я объясняю одному, а на следующий день звонит другой и все начинается сначала. Более того,( я это прочитала и у других пользователей, оставляющих комментарии) они вымогают деньги и требуют оплатить долг за человека, которому они дали деньги. Это вообще мыслимо?! Более того, они нарушают все законы, звонят по выходным и по будням с самого утра и до вечера каждый день по -звонков в день! Я имела кредит в другом банке, но никогда не получала столько звонков за всю историю своего кредита, сколько здесь от наглых хамских сотрудников совкомбанка.  При этом звонят с мобильных неофициальных номеров - их у них тысячи! Так вот,  многоуважаемый СОВКОМ БАНК, Я НАСТОЯТЕЛЬНО ПРОШУ ПРЕКРАТИТЬ ПРЕСЛЕДОВАТЬ МЕНЯ, Я ВАМ НИЧЕГО НЕ ДОЛЖНА! Или вам закон не писан?! В любом случае вымогательства со стороны сотрудников банка записаны мною и в случае если звонки будут продолжать посупать я буду обращаться в соответстующие органы!"
6,12.02.2018 22:59,ОТП Банк,Благодарность сотрудникам,5,"В начале февраля открывали  сберегательный счет. До приезда в банк мы не очень четко понимали, какой счет можно открыть с наибольшей выгодой. Сотрудники банка Олеся Долгова, Мария Григоренко и Елена Томах профессионально, доступно и подробно рассказали о возможных вариантах, порекомендовали наиболее приемлемые для нас условия. Очень быстро и четко были оформлены все необходимые документы, и мы с чувством глубокой благодарности покинули банк.Рекомендуем обращаться в отделение, находящееся на Преображенке, где объясняют и помогают.Александр и Наталья."
7,12.02.2018 22:52,Промсвязьбанк,Отвратительная некомпетентная работа сотрудника банка,1,"Здравствуйте, я являюсь управляющей в компании Х в городе Новороссийске, я уже оставляла отзыв по поводу чего мне пришлось появиться в банке, это по поводу блокировки средств на счёте, якобы по статье фз,  очень неоправданное обвинение, но дело не в этом. Сегодня снова я обращалась в банк , все по тому же не решенному до сих пор вопросу, так как деньги я пытаюсь разблокировать уже на протяжении полутора месяцев, а тот самый сотрудник кормит меня завтраками каждый день, все необходимые документы были предоставлены, но с каждым днём я слышу все новый и новый список который якобы в дополнение запрашивает банк. Так вот, я работаю на основании доверенности , нотариально заверенной от лица ИП , которая даёт мне право на любые банковские операции , открытия , закрытия счетов , подписей, и т.д. , сотрудник банка Бабаян Лусине Гариковна, которую я считаю не компетентным сотрудником, сегодня в повышенном тоне ( что я считаю превышением должностных полномочий, и не компетентности данного сотрудника) доказывала мне что для закрытия счета должен приехать именно тот человек на которого оформлено ИП , то есть по словам уважаемой Лусине , органы занимающиеся заверением документов не имеют никакой силы в банке в котором она работает, и у них свои правила на этот счёт! Не считается ли это незаконно со стороны банка отказывать мне в закрытии счета , когда я являюсь законным представителем, это нарушает мои права!  и не являются ли действия сотрудника банка превышающими свои должностные обязанности, когда я беседую с менеджером по вопросу закрытия счета , она выкрикивает в трубку , Цитирую: « скажи ей чтобы ИП... ехала сама, мы ничего не будем без неё закрывать» на каком основании простите? Не считаете ли вы хамским и без того поведение данного сотрудника? И все таки я бы хотела чтобы с момента подачи мной заявления о закрытии счета, сотрудник без лишних нареканий, и тем более повышения на меня голоса, выполнил мои требования!!"
8,12.02.2018 22:52,Восточный Банк,Халатность операциониста отделения.,1,"Здравствуйте. января года по рекомендации друга в офисе на  ул.Советской ,, Липецк я оформлял кредитный продукт карта""Тепло "". При составлении заявки сотруднице банка мной был озвучен код для участия в акции "" Привели друга""  .Заявка была одобрена,карта получена.Перед подписанием  документов ещё раз уточнил,участвую ли я в акции"" Приведи друга"",ответ сотрудницы был утвердительным.Человек,рекомендовавший мне  карту, сделал запрос в ваш банк: зафиксирован ли его промокод при оформлении моей карты. Ответ банка- нет! Ни я ни он в акции не участвуем!Считаю,что клиент ценящего свою репутацию банка не должен из-за халатности или некомпетентности операциониста отделения лишаться заслуженного акционного поощрения!При соблюдении мной условий акции, требую мне и рекомендателю выплатить обещанную сумму."
9,12.02.2018 22:50,Восточный Банк,"Ни терминал, ни банкомат не работают",1,"Заводил дебетовую карту Восточного банка в Красноярске, в Москве не могу снять с неё деньги в банкомате Восточного же, пишет Отказ в обслуживании! Говорят это из-за того, что не поддерживает карту платёжной системы Мир. Уже несколько месяцев ничего даже не пытаются изменить. Зачем же тогда вообще эту систему навязывают клиентам? Напомню, что у меня раньше была жалоба на этом сайте из-за того, что я заказывал карту Visa, а мне выдали Мир, теперь мучаюсь. Да, можно снять через операторов, потратив пол часа времени в очереди, можно снять деньги в банкомате другого банка, но там минимальная сумма р, иначе комиссия. В общем неудобства.Ну хорошо, снял р в другом банке. Прихожу в воскресенье в Восточный, чтобы закинуть оставшиеся деньги на карту - терминал не работает, прихожу вечером в понедельник - терминал всё также не работает. В кассе тоже не могу пополнить свою карту, насколько понял кассира из-за того что карта была заведена в другом регионе. Ну хоть бы второй терминал поставили, что ли...Что ж у вас в Восточном всё через одно место всегда?"
10,12.02.2018 22:36,ВТБ,Проблемы с банкоматом,,"Сегодня произошёл неприятный случай. У меня есть банковская карта для внесения наличных на свой расчетный счёт. Внесла , но банкомат карту выплюнул, а деньги не вернул и чек никакой не выдал. Сломался. Позвонила в службу поддержки. Еле связалась с оператором. Заявку приняли. Номер заявки CR. Но результат будет только через недели. Нельзя ли ускорить рассмотрение заявки. Срочно нужно рассчитаться с поставщиками с уважением, Иванова Светлана"
